	zip	city	state	latitude	longitude	timezone	dst
0	210	Portsmouth	NH	43.005895	-71.013202	-5	1
1	211	Portsmouth	NH	43.005895	-71.013202	-5	1
2	212	Portsmouth	NH	43.005895	-71.013202	-5	1
3	213	Portsmouth	NH	43.005895	-71.013202	-5	1
4	214	Portsmouth	NH	43.005895	-71.013202	-5	1
5	215	Portsmouth	NH	43.005895	-71.013202	-5	1
6	501	Holtsville	NY	40.922326	-72.637078	-5	1
7	544	Holtsville	NY	40.922326	-72.637078	-5	1
8	601	Adjuntas	PR	18.180103	-66.74947	-4	0
9	602	Aguada	PR	18.363285	-67.18024	-4	0
10	603	Aguadilla	PR	18.448619	-67.13422	-4	0
11	604	Aguadilla	PR	18.498987	-67.13699	-4	0
12	605	Aguadilla	PR	18.465162	-67.141486	-4	0
13	606	Maricao	PR	18.182151	-66.9588	-4	0
14	607	Aguas Buenas	PR	18.256995	-66.10465699999999	-4	0
15	609	Aibonito	PR	18.142001999999998	-66.273278	-4	0
16	610	Anasco	PR	18.288319	-67.13604000000001	-4	0
17	611	Angeles	PR	18.279531	-66.80216999999999	-4	0
18	612	Arecibo	PR	18.449732	-66.69879	-4	0
19	613	Arecibo	PR	18.458092999999998	-66.732732	-4	0
20	614	Arecibo	PR	18.429675	-66.67450600000001	-4	0
21	615	Arroyo	PR	17.96977	-66.061459	-4	0
22	616	Bajadero	PR	18.426748	-66.67669000000001	-4	0
23	617	Barceloneta	PR	18.455499	-66.55575	-4	0
24	618	Barranquitas	PR	18.185463000000002	-66.30582700000001	-4	0
25	622	Boqueron	PR	18.003125	-67.16745	-4	0
26	623	Cabo Rojo	PR	18.08643	-67.15222	-4	0
27	624	Penuelas	PR	18.055398999999998	-66.72601999999999	-4	0
28	625	Caguas	PR	18.232109	-66.039087	-4	0
29	626	Caguas	PR	18.235003	-66.037318	-4	0
30	627	Camuy	PR	18.435246	-66.85644	-4	0
31	631	Castaner	PR	18.186739000000003	-66.85174	-4	0
32	633	Cayey	PR	18.194526999999997	-66.18346700000001	-4	0
33	634	Cayey	PR	18.111528	-66.177083	-4	0
34	635	Ceiba	PR	18.262902	-65.646529	-4	0
35	636	Rosario	PR	18.113284	-67.03970600000001	-4	0
36	637	Sabana Grande	PR	18.073078	-66.94864	-4	0
37	638	Ciales	PR	18.308139	-66.49835	-4	0
38	639	Cidra	PR	18.176094	-66.158728	-4	0
39	640	Coamo	PR	18.077197	-66.359104	-4	0
40	641	Utuado	PR	18.268895999999998	-66.70519	-4	0
41	643	Corozal	PR	18.341254	-66.31519399999999	-4	0
42	644	Coto Laurel	PR	18.049577	-66.55218	-4	0
43	645	Culebra	PR	18.308508	-65.304732	-4	0
44	646	Dorado	PR	18.442798	-66.27689000000001	-4	0
45	647	Ensenada	PR	17.964529000000002	-66.93993	-4	0
46	648	Fajardo	PR	18.333038000000002	-65.656182	-4	0
47	650	Florida	PR	18.363331	-66.56773000000001	-4	0
48	652	Garrochales	PR	18.457453	-66.61216999999999	-4	0
49	653	Guanica	PR	17.992112	-66.90097	-4	0
50	654	Jobos	PR	17.979518	-66.11721899999999	-4	0
51	655	Olimpo	PR	17.976371	-66.116795	-4	0
52	656	Guayanilla	PR	18.038866	-66.79168	-4	0
53	658	Gurabo	PR	18.254137	-65.973605	-4	0
54	659	Hatillo	PR	18.432956	-66.80039000000001	-4	0
55	660	Hormigueros	PR	18.139108	-67.12085	-4	0
56	661	Humacao	PR	18.150829	-65.826595	-4	0
57	662	Isabela	PR	18.478855	-67.01973000000001	-4	0
58	664	Jayuya	PR	18.212564999999998	-66.59243000000001	-4	0
59	665	Ponce	PR	18.044224	-66.502103	-4	0
