Category: Programming

Week,R: (Worldwide),SQL: (Worldwide),Python: (Worldwide)
2012-09-16,6,64,46
2012-09-23,7,67,47
2012-09-30,7,64,45
2012-10-07,7,62,45
2012-10-14,8,67,47
2012-10-21,8,62,47
2012-10-28,6,59,43
2012-11-04,7,62,43
2012-11-11,7,58,43
2012-11-18,6,61,41
2012-11-25,7,62,44
2012-12-02,7,63,45
2012-12-09,7,62,43
2012-12-16,6,59,40
2012-12-23,5,37,30
2012-12-30,5,38,32
2013-01-06,7,59,43
2013-01-13,7,59,43
2013-01-20,7,60,45
2013-01-27,8,61,45
2013-02-03,8,59,43
2013-02-10,8,59,45
2013-02-17,7,61,48
2013-02-24,7,63,50
2013-03-03,7,64,49
2013-03-10,7,64,48
2013-03-17,7,63,48
2013-03-24,7,57,49
2013-03-31,7,59,47
2013-04-07,7,65,48
2013-04-14,7,63,49
2013-04-21,7,63,49
2013-04-28,6,56,46
2013-05-05,6,60,47
2013-05-12,7,64,48
2013-05-19,7,61,46
2013-05-26,7,59,46
2013-06-02,7,60,46
2013-06-09,7,61,45
2013-06-16,7,60,45
2013-06-23,7,60,47
2013-06-30,7,57,47
2013-07-07,7,62,48
2013-07-14,7,60,46
2013-07-21,7,59,46
2013-07-28,6,59,46
2013-08-04,6,56,46
2013-08-11,7,54,45
2013-08-18,7,58,46
2013-08-25,7,58,45
2013-09-01,7,56,45
2013-09-08,7,59,49
2013-09-15,7,58,47
2013-09-22,8,62,51
2013-09-29,8,57,48
2013-10-06,9,62,52
2013-10-13,7,57,52
2013-10-20,8,60,53
2013-10-27,8,59,51
2013-11-03,8,58,52
2013-11-10,8,60,51
2013-11-17,8,62,53
2013-11-24,8,57,49
2013-12-01,8,61,50
2013-12-08,8,59,50
2013-12-15,7,57,48
2013-12-22,5,36,37
2013-12-29,5,33,37
2014-01-05,7,53,46
2014-01-12,8,56,51
2014-01-19,8,59,51
2014-01-26,8,58,50
2014-02-02,8,56,49
2014-02-09,7,58,53
2014-02-16,8,59,54
2014-02-23,8,59,52
2014-03-02,8,58,54
2014-03-09,8,60,54
2014-03-16,8,60,52
2014-03-23,8,59,53
2014-03-30,8,60,53
2014-04-06,8,61,55
2014-04-13,9,54,53
2014-04-20,9,56,53
2014-04-27,8,52,50
2014-05-04,8,58,51
2014-05-11,9,60,51
2014-05-18,9,63,53
2014-05-25,8,56,46
2014-06-01,8,59,49
2014-06-08,8,57,47
2014-06-15,8,58,47
2014-06-22,7,59,49
2014-06-29,8,55,47
2014-07-06,8,58,49
2014-07-13,8,58,48
2014-07-20,8,60,48
2014-07-27,8,55,48
2014-08-03,8,56,48
2014-08-10,8,54,46
2014-08-17,9,56,48
2014-08-24,8,57,47
2014-08-31,8,55,48
2014-09-07,9,56,51
2014-09-14,9,58,52
2014-09-21,8,57,52
2014-09-28,9,55,54
2014-10-05,9,58,54
2014-10-12,9,57,54
2014-10-19,9,55,54
2014-10-26,9,58,54
2014-11-02,9,57,54
2014-11-09,9,58,56
2014-11-16,10,58,53
2014-11-23,9,53,51
2014-11-30,10,58,52
2014-12-07,10,56,53
2014-12-14,9,55,50
2014-12-21,6,36,38
2014-12-28,5,30,36
2015-01-04,8,50,46
2015-01-11,9,54,52
2015-01-18,10,55,54
2015-01-25,9,54,54
2015-02-01,9,58,57
2015-02-08,10,57,55
