Category: All categories

Week,Bitcoin: (Worldwide),Ethereum: (Worldwide),Python: (Worldwide)
2017-01-08,6,0,11
2017-01-15,5,0,11
2017-01-22,5,0,11
2017-01-29,5,0,12
2017-02-05,5,0,12
2017-02-12,5,0,12
2017-02-19,6,0,12
2017-02-26,7,0,13
2017-03-05,7,0,12
2017-03-12,6,1,12
2017-03-19,6,1,13
2017-03-26,6,1,14
2017-04-02,6,1,13
2017-04-09,5,0,12
2017-04-16,5,0,12
2017-04-23,6,1,12
2017-04-30,8,1,11
2017-05-07,11,1,12
2017-05-14,13,1,12
2017-05-21,21,4,12
2017-05-28,14,3,11
2017-06-04,14,3,12
2017-06-11,15,6,12
2017-06-18,13,4,12
2017-06-25,13,4,11
2017-07-02,11,3,11
2017-07-09,12,3,12
2017-07-16,13,3,12
2017-07-23,12,2,12
2017-07-30,16,2,12
2017-08-06,16,2,12
2017-08-13,22,2,11
2017-08-20,17,2,11
2017-08-27,19,3,12
2017-09-03,20,2,12
2017-09-10,22,2,13
2017-09-17,17,2,13
2017-09-24,14,1,13
2017-10-01,14,1,13
2017-10-08,20,2,14
2017-10-15,21,2,13
2017-10-22,21,2,13
2017-10-29,28,2,13
2017-11-05,30,2,14
2017-11-12,32,2,14
2017-11-19,29,3,13
2017-11-26,65,5,14
2017-12-03,91,6,14
2017-12-10,86,7,13
2017-12-17,100,7,12
2017-12-24,65,4,10
2017-12-31,51,5,10
