"movie_name","movie_url","score","evalue_users","year","other"
"肖申克的救赎 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292052/",9.6,723709,1994," 美国 / 犯罪 / 剧情"
"霸王别姬 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291546/",9.5,506132,1993," 中国大陆 / 香港 / 剧情 / 爱情 / 同性"
"美丽人生 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292063/",9.5,346179,1997," 意大利 / 剧情 / 喜剧 / 爱情"
"这个杀手不太冷 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1295644/",9.4,695350,1994," 法国 / 剧情 / 动作 / 犯罪"
"阿甘正传 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292720/",9.4,606133,1994," 美国 / 剧情 / 爱情"
"辛德勒的名单 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1295124/",9.4,321285,1993," 美国 / 剧情 / 历史 / 战争"
"泰坦尼克号 3D版 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/5450891/",9.4,159182,2012," 美国 / 剧情 / 爱情 / 灾难"
"机器人总动员 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/2131459/",9.3,438794,2008," 美国 / 喜剧 / 爱情 / 科幻 / 动画 / 冒险"
"十二怒汉 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1293182/",9.3,143441,1957," 美国 / 剧情"
"盗梦空间 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/3541415/",9.2,667332,2010," 美国 / 英国 / 剧情 / 动作 / 科幻 / 悬疑 / 冒险"
"千与千寻 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291561/",9.2,554319,2001," 日本 / 剧情 / 动画 / 奇幻"
"海上钢琴师 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292001/",9.2,521062,1998," 意大利 / 剧情 / 音乐"
"放牛班的春天 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291549/",9.2,386740,2004," 法国 / 瑞士 / 德国 / 剧情 / 音乐"
"疯狂动物城 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/25662329/",9.2,385535,2016," 美国 / 喜剧 / 动作 / 动画 / 冒险"
"忠犬八公的故事 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/3011091/",9.2,370914,2009," 美国 / 英国 / 剧情"
"教父 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291841/",9.2,295333,1972," 美国 / 剧情 / 犯罪"
"乱世佳人 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1300267/",9.2,234915,1939," 美国 / 剧情 / 爱情 / 战争"
"大闹天宫 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1418019/",9.2,79087,1961," 中国大陆 / 动画 / 奇幻"
"三傻大闹宝莱坞 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/3793023/",9.1,572794,2011," 印度 / 剧情 / 喜剧 / 爱情 / 歌舞"
"泰坦尼克号 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292722/",9.1,557264,1998," 美国 / 剧情 / 爱情 / 灾难"
"星际穿越 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1889243/",9.1,405559,2014," 美国 / 英国 / 加拿大 / 剧情 / 科幻 / 悬疑 / 冒险 / 家庭"
"大话西游之大圣娶亲 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292213/",9.1,384080,2014," 香港 / 中国大陆 / 动作 / 冒险 / 喜剧 / 奇幻 / 爱情"
"龙猫 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291560/",9.1,360213,1988," 日本 / 动画 / 奇幻"
"触不可及 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/6786002/",9.1,310859,2011," 法国 / 剧情 / 喜剧"
"天堂电影院 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291828/",9.1,270726,1988," 意大利 / 法国 / 剧情 / 爱情"
"指环王3：王者无敌 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291552/",9.1,250167,2004," 美国 / 新西兰 / 剧情 / 动作 / 奇幻 / 冒险"
"鬼子来了 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291858/",9.1,189730,2000," 中国大陆 / 剧情 / 战争"
"窃听风暴 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1900841/",9.1,186568,2006," 德国 / 剧情 / 悬疑"
"熔炉（豆瓣）","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/5912992/",9.1,182193,2011," 韩国 / 剧情"
"教父2 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1299131/",9.1,159555,1974," 美国 / 剧情 / 犯罪"
"辩护人 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/21937445/",9.1,150772,2013," 韩国 / 剧情"
"美国往事 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292262/",9.1,148972,1984," 意大利 / 美国 / 犯罪 / 剧情"
"小鞋子 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1303021/",9.1,113043,1999," 伊朗 / 剧情 / 家庭 / 儿童"
"摩登时代 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1294371/",9.1,68942,1936," 美国 / 喜剧 / 剧情 / 爱情"
"七武士 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1295399/",9.1,62167,1954," 日本 / 动作 / 冒险 / 剧情"
"少年派的奇幻漂流 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1929463/",9,509344,2012," 美国 / 台湾 / 英国 / 加拿大 / 剧情 / 奇幻 / 冒险"
"楚门的世界 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292064/",9,373181,1998," 美国 / 剧情"
"搏击俱乐部（豆瓣）","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292000/",9,365419,1999," 美国 / 德国 / 剧情 / 动作 / 悬疑 / 惊悚"
"天空之城 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291583/",9,283731,1986," 日本 / 动画 / 奇幻 / 冒险"
"蝙蝠侠：黑暗骑士 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1851857/",9,269322,2008," 美国 / 英国 / 剧情 / 动作 / 科幻 / 犯罪 / 惊悚"
"飞越疯人院 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292224/",9,242165,1975," 美国 / 剧情"
"两杆大烟枪 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1293350/",9,240750,1998," 英国 / 剧情 / 喜剧 / 犯罪"
"活着 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292365/",9,215537,1994," 中国大陆 / 香港 / 剧情 / 家庭"
"钢琴家 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1296736/",9,174765,2002," 法国 / 德国 / 英国 / 波兰 / 剧情 / 传记 / 历史 / 战争"
"素媛 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/21937452/",9,128763,2013," 韩国 / 剧情 / 家庭"
"狩猎 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/6985810/",9,92126,2012," 丹麦 / 瑞典 / 比利时 / 剧情"
"完美的世界 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1300992/",9,65258,1993," 美国 / 剧情 / 犯罪"
"追随 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1397546/",9,63431,1998," 英国 / 犯罪 / 悬疑 / 惊悚"
"当幸福来敲门 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1849031/",8.9,467700,2008," 美国 / 剧情 / 传记 / 家庭"
"怦然心动 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/3319755/",8.9,453374,2010," 美国 / 剧情 / 喜剧 / 爱情"
"飞屋环游记 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/2129039/",8.9,440672,2009," 美国 / 剧情 / 喜剧 / 动画 / 奇幻 / 冒险"
"罗马假日 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1293839/",8.9,334441,1953," 美国 / 喜剧 / 剧情 / 爱情"
"无间道 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1307914/",8.9,333937,2003," 香港 / 犯罪 / 悬疑 / 惊悚"
"大话西游之月光宝盒 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1299398/",8.9,333380,2014," 香港 / 中国大陆 / 喜剧 / 动作 / 爱情 / 奇幻 / 冒险 / 古装"
